event,properties,trigger,hook,page
Stock Upload Completed,platform: shopee | tiktok | lazada; row_count: int,Stock spreadsheet apply succeeds (canonical saved + queued for Shopee sync),dg-app/layers/products/app/components/StockUploadPanel.vue → handleApply(),/workspace/my-shop/[id]/products (Stock tool)
Canonical Product Batch Uploaded,platform: shopee | lazada | tiktok_shop | all_shops; processed_rows: int; updated_count: int; error_count: int,Canonical shop-batch XLSX upload returns a result (nickname/stock/COGS upsert by canonical_variant_id); platform=all_shops for the all-shops/all-platforms upload,dg-app/layers/products/app/components/CanonicalProductBatchPanel.vue → handleUpload(),/workspace/my-shop/[id]/products/canonical-products (Bulk edit tool)
Product History Saved,source: product_detail; current_count: int; historical_count: int,Product history modal saved — current-row edits via upsert-products + bounded/new windows via upsert-historical-cogs (name/nickname/sku/model_sku/COGS per window),dg-app/layers/products/app/components/ProductCogsHistoryDialog.vue → save(),/workspace/my-shop/[id]/products/[productId]
Checkout Started,plan: string; flow: change_plan?,User starts a Stripe checkout (new sub or plan change),dg-app/layers/billing/app/composables/useBilling.ts → checkout()/switchPlan(),/billing/pricing · /profile?tab=billing
Checkout Completed,plan: string?,User lands back from Stripe after successful payment (client proxy; webhook on dgbe is authoritative),dg-app/layers/billing/app/pages/(authorized)/billing/success.vue → onMounted,/billing/success
Sign Up Page Viewed,utm_source: string?; utm_medium: string?; utm_campaign: string?; paid: bool; referrer: string,Sign-up page mounts — measures landing → signup-page → started conversion,dg-auth/app/pages/(unauthorized)/sign-up.vue → onMounted,/sign-up
Sign Up Failed,method: password | phone; reason: ApiErrorType; status: int?,Sign-up request throws (validation / conflict / network / server),dg-auth/app/composables/useAuth.ts → signUp()/phoneSignUp() catch,/sign-up
Sign In Failed,method: password | phone | google; reason: ApiErrorType; status: int?,Sign-in request throws,dg-auth/app/composables/useAuth.ts → signIn()/phoneSignIn()/signInWithGoogle() catch,/sign-in · OAuth callbacks
API Error,endpoint: string (path only); status: int; method: string,A backend call fails with a network error or 5xx (4xx + recovered-401 retries excluded),dg-base/api/client.ts → customFetch() catch,global (all API calls)
Shop Sync Failed,platform: shopee; shop_id: int; app_type: default | ads | ams; stage: FAILED; total_jobs: int; completed_jobs: int,Pipeline sync status reads FAILED (fires once per shop+app_type per session),dg-app/layers/workspace/app/composables/useShopSyncStatus.ts → load(),/workspace/my-shop/[id]/* (sync status polling)
COGS Set,platform: shopee | lazada | tiktok; source: product_row | financial_breakdown | bulk_upload; product_count: int; shop_id: int?,COGS saved for a product by any path (inline row/model/sku edit · financial-breakdown apply with manufacturingCogs · bulk upload) — the "set COGS for even one product" activation signal; fires on set only (not clear),use{Shopee Model,Lazada Sku,Shopee/Lazada/TikTok ProductRow}Cogs.ts + useApplyChanges.ts + CogsUploadPanel.vue,/workspace/my-shop/[id]/products*
Connect Help Viewed,step: connect-shop | connect-platform; platform: shopee | lazada | tiktok?,User opens the "Why do I need to connect?" explainer modal on an onboarding connect step,dg-app/layers/onboarding/app/components/OnboardingWhyConnect.vue → openModal(),onboarding connect step (platform picker · per-platform connect)
